Category;Key;UE40D5720;HTD5500
Pannel;KEY_PANNEL_ENTER;;
Pannel;KEY_WHEEL_LEFT;;
Pannel;KEY_PANNEL_VOLDOW;;
Pannel;KEY_PANNEL_CHDOWN;;
Pannel;KEY_PANNEL_MENU;;
Pannel;KEY_PANNEL_SOURCE;;
Pannel;KEY_PANNEL_CHUP;;
Pannel;KEY_PANNEL_VOLUP;;
Pannel;KEY_PANNEL_POWER;;
Pannel;KEY_WHEEL_RIGHT;;
;KEY_FACTORY;message n/a -- admin key;
;KEY_PLUS100;message n/a;
;KEY_DVD_MODE;;
;KEY_MUTE;mute sound;
;KEY_QUICK_REPLAY;;
;KEY_DNSe;;
;KEY_DSS_MODE;;
;KEY_DOWN;;
;KEY_BOOKMARK;;
;KEY_MS;;
;KEY_DTV_SIGNAL;message n/a;
;KEY_SLEEP;switch sleep timer;
;KEY_DVR_MENU;;
;KEY_PMODE;switch picture mode;
;KEY_HELP;;
;KEY_CALLER_ID;;
;KEY_SEFFECT;;
;KEY_STB_MODE;"display \"stb mode\"";
;KEY_MIC;;
;KEY_OPEN;;
;KEY_MOVIE1;;
;KEY_16_9;;
;KEY_GUIDE;;
;KEY_W_LINK;;
;KEY_TURBO;"msg \"app not installed\"" - examine further";
;KEY_SUB_TITLE;;
;KEY_DNIe;-;
;KEY_DOOR;;
;KEY_PAUSE;;
;KEY_RESERVED1;;
;KEY_ENTER;;
;KEY_ID_INPUT;;
;KEY_INFO;;
;KEY_PANORAMA;;
;KEY_MORE;;
;KEY_RSS;Start SmartHUB;
;KEY_BACK_MHP;-;
;KEY_CATV_MODE;;
;KEY_ANYNET;;
;KEY_LINK;;
;KEY_CONTENTS;;
;KEY_ENTERTAINMENT;;
;KEY_REC;;
;KEY_DTV_LINK;;
;KEY_ALT_MHP;;
;KEY_AUTO_PROGRAM;;
;KEY_INSTANT_REPLAY;;
;KEY_SETUP_CLOCK_TIMER;;
;KEY_CONVERGENCE;;
;KEY_LIVE;;
;KEY_HOME;;
;KEY_AD;;
;KEY_ESAVING;switch energy saving;
;KEY_MTS;switch audio mode (mono/stereo/dualI/dualII);
;KEY_SOUND_MODE;;
;KEY_TTX_MIX;;
;KEY_3SPEED;;
;KEY_PICTURE_SIZE;;
;KEY_CAPTION;;
;KEY_APP_LIST;;
;KEY_VCHIP;;
;KEY_CONVERT_AUDIO_MAINSUB;;
;KEY_PROGRAM;;
;KEY_NINE_SEPERATE;;
;KEY_PERPECT_FOCUS;;
;KEY_DMA;;
;KEY_DEVICE_CONNECT;;
;KEY_PRINT;;
;KEY_PCMODE;;
;KEY_DTV;;
;KEY_MAGIC_CHANNEL;;
;KEY_GAME;;
;KEY_DYNAMIC;;
;KEY_VCR_MODE;;
;KEY_CUSTOM;;
;KEY_DISC_MENU;;
;KEY_CLOCK_DISPLAY;;
;KEY_MDC;;
;KEY_DNET;;
;KEY_CLEAR;;
;KEY_STANDARD;;
;KEY_REPEAT;;
;KEY_SRS;;
;KEY_ADDDEL;;
;KEY_ID_SETUP;;
;KEY_ANYVIEW;;
;KEY_RSURF;;
;KEY_DVI;;
;KEY_ANGLE;;
;KEY_SCALE;;
;KEY_ASPECT;;
;KEY_DVR;;
;KEY_MAGIC_BRIGHT;;
;KEY_STILL_PICTURE;;
;KEY_FM_RADIO;;
;KEY_AUTO_FORMAT;;
;KEY_4_3;;
TTX;KEY_GREEN;green/b;
TTX;KEY_YELLOW;yellow/c;
TTX;KEY_TTX_SUBFACE;;
TTX;KEY_CYAN;;
TTX;KEY_RED;;
Power;KEY_POWER;;
Power;KEY_POWEROFF;;
Power;KEY_POWERON;;
Keypad;KEY_11;;
Keypad;KEY_12;;
Keypad;KEY_5;Keypad 5;
Keypad;KEY_4;Keypad 4;
Keypad;KEY_7;Keypad 7;
Keypad;KEY_6;Keypad 6;
Keypad;KEY_1;Keypad 1;
Keypad;KEY_0;Keypad 0;
Keypad;KEY_3;Keypad 3;
Keypad;KEY_2;Keypad 2;
Keypad;KEY_9;Keypad 9;
Keypad;KEY_8;Keypad 8;
Menu;KEY_MENU;open/close main menu;
Menu;KEY_RETURN;return to previous menu;
Menu;KEY_UP;cursor up;
Menu;KEY_RIGHT;cursor right;
Menu;KEY_TOOLS;show tools menu;
Menu;KEY_LEFT;left;
Menu;KEY_EXIT;close all menus;
Menu;KEY_TOPMENU;E-Manual;
Zoom;KEY_ZOOM2;;
Zoom;KEY_ZOOM_IN;;
Zoom;KEY_ZOOM1;;
Zoom;KEY_ZOOM_OUT;;
Zoom;KEY_ZOOM_MOVE;;
ARC;KEY_AUTO_ARC_ANTENNA_CABLE;;
ARC;KEY_AUTO_ARC_ANYNET_MODE_OK;;
ARC;KEY_AUTO_ARC_CAPTION_ON;;
ARC;KEY_AUTO_ARC_USBJACK_INSPECT;;
ARC;KEY_AUTO_ARC_RESET;;
ARC;KEY_AUTO_ARC_PIP_RIGHT_TOP;;
ARC;KEY_AUTO_ARC_PIP_SMALL;;
ARC;KEY_AUTO_ARC_C_FORCE_AGING;;
ARC;KEY_AUTO_ARC_ANTENNA_AIR;;
ARC;KEY_AUTO_ARC_CAPTION_OFF;;
ARC;KEY_AUTO_ARC_CAPTION_ENG;;
ARC;KEY_AUTO_ARC_PIP_CH_CHANGE;;
ARC;KEY_AUTO_ARC_LNA_ON;;
ARC;KEY_AUTO_ARC_JACK_IDENT;;
ARC;KEY_AUTO_ARC_PIP_LEFT_BOTTOM;;
ARC;KEY_AUTO_ARC_PIP_WIDE;;
ARC;KEY_AUTO_ARC_LNA_OFF;;
ARC;KEY_AUTO_ARC_PIP_SOURCE_CHANGE;;
ARC;KEY_AUTO_ARC_ANTENNA_SATELLITE;;
ARC;KEY_AUTO_ARC_PIP_RIGHT_BOTTOM;;
ARC;KEY_AUTO_ARC_PIP_DOUBLE;;
ARC;KEY_AUTO_ARC_AUTOCOLOR_FAIL;;
ARC;KEY_AUTO_ARC_PIP_LARGE;;
ARC;KEY_AUTO_ARC_AUTOCOLOR_SUCCESS;;
ARC;KEY_AUTO_ARC_PIP_LEFT_TOP;;
ARC;KEY_AUTO_ARC_ANYNET_AUTO_START;;
ARC;KEY_AUTO_ARC_CAPTION_KOR;;
Volume;KEY_VOLDOWN;;
Volume;KEY_VOLUP;;
Source;KEY_COMPONENT1;;
Source;KEY_HDMI;switch to HDMI (last used?);
Source;KEY_ANTENA;Input: terestrial antenna;
Source;KEY_AV1;switch to input ext.;
Source;KEY_AV2;;
Source;KEY_AV3;;
Source;KEY_TV;;
Source;KEY_TV_MODE;;
Source;KEY_SVIDEO3;;
Source;KEY_SVIDEO2;;
Source;KEY_SVIDEO1;;
Source;KEY_COMPONENT2;;
